sampled_at	m4m_last_seen	m4m_lag_s	mbm5_last_seen
2026-08-23T16:27:20Z	2026-08-23T16:26:13.994532Z	66	2026-08-23T16:26:09.211439Z
2026-08-23T16:32:23Z	2026-08-23T16:31:28.865092Z	54	2026-08-23T16:27:26.033676Z
2026-08-23T16:37:27Z	2026-08-23T16:37:13.530364Z	13	2026-08-23T16:37:17.586916Z
2026-08-23T16:42:31Z	2026-08-23T16:41:42.711306Z	48	2026-08-23T16:37:17.586916Z
2026-08-23T16:47:35Z	2026-08-23T16:47:29.864631Z	5	2026-08-23T16:47:07.929826Z
2026-08-23T16:52:39Z	2026-08-23T16:52:09.133694Z	30	2026-08-23T16:49:01.035781Z
2026-08-23T16:57:43Z	2026-08-23T16:56:37.775653Z	65	2026-08-23T16:57:14.007773Z
2026-08-23T17:02:46Z	2026-08-23T17:02:36.184322Z	10	2026-08-23T16:57:14.007773Z
2026-08-23T17:07:50Z	2026-08-23T17:07:02.799466Z	47	2026-08-23T17:07:04.067558Z
2026-08-23T17:12:55Z	2026-08-23T17:12:54.659603Z	0	2026-08-23T17:07:04.067558Z
